Join Date,Name,Completed
"May 1, 2025, 9:14:53 AM",adidas Move For The Planet,true
"May 1, 2025, 9:15:38 AM",May 5K x Brooks Challenge,true
"May 1, 2025, 9:15:54 AM",May Run 100K Challenge,true
"May 1, 2025, 9:16:00 AM",May 10K Challenge,true
"May 1, 2025, 9:16:06 AM",May Half Marathon Challenge,false
"May 1, 2025, 9:16:19 AM",May Ten Days Active Challenge,true
"May 3, 2025, 3:30:29 PM",May 400-Minute Challenge,true
"May 3, 2025, 3:30:57 PM",May Elevation Challenge,false
"May 31, 2025, 2:42:45 PM",June 10K Challenge,true
"May 31, 2025, 2:42:50 PM",June Run 100K Challenge,true
"May 31, 2025, 2:42:55 PM",June Half Marathon Challenge,false
"May 31, 2025, 2:42:59 PM",May Walk 50K Challenge,false
"May 31, 2025, 2:43:09 PM",June Ten Days Active Challenge,true
"May 31, 2025, 2:43:21 PM",June Elevation Challenge,false
"May 31, 2025, 2:43:24 PM",June Walk 50K Challenge,false
"May 31, 2025, 2:43:34 PM",June 400-Minute Challenge,true
"Sep 9, 2025, 10:55:44 PM",September 400-Minute x Runna Challenge,true
"Sep 9, 2025, 10:56:07 PM",September 10K Challenge,true
"Sep 9, 2025, 10:56:11 PM",September Run 100K Challenge,true
"Sep 9, 2025, 10:56:14 PM",September Half Marathon Challenge,true
"Sep 9, 2025, 10:56:17 PM",September Ten Days Active Challenge,true
"Sep 9, 2025, 10:56:21 PM",September Elevation Challenge,false
"Sep 9, 2025, 10:56:24 PM",September Run 300K Challenge,false
"Nov 1, 2025, 3:37:40 PM",November Half Marathon Challenge,true
"Nov 1, 2025, 3:37:42 PM",November Run 300K Challenge,false
"Nov 1, 2025, 3:37:44 PM",November Run 100K Challenge,true
"Nov 1, 2025, 3:37:48 PM",November Ten Days Active Challenge,true
"Nov 1, 2025, 3:37:49 PM",November 10K Challenge,true
"Nov 1, 2025, 3:37:54 PM",November 5K x Brooks Challenge,true
"Nov 1, 2025, 3:37:55 PM",November 400-Minute x Runna Challenge,true
"Nov 26, 2025, 12:12:23 AM",December 5K Challenge,true
"Nov 26, 2025, 12:12:28 AM",December 400-Minute x Runna Challenge,true
"Nov 26, 2025, 12:12:31 AM",December 10K Challenge,true
"Nov 26, 2025, 12:12:37 AM",December Run 100K Challenge,true
"Nov 26, 2025, 12:12:43 AM",December Ten Days Active Challenge,true
"Nov 26, 2025, 12:12:47 AM",November Elevation Challenge,false
"Nov 26, 2025, 12:12:50 AM",December Half Marathon Challenge,true
"Nov 26, 2025, 12:12:52 AM",December Walk 50K Challenge,false
"Nov 26, 2025, 12:12:55 AM",December Elevation Challenge,false
"Nov 26, 2025, 12:12:58 AM",December Run 300K Challenge,false
"Dec 28, 2025, 8:43:13 AM",January 5K x Brooks Challenge,true
"Dec 28, 2025, 8:43:16 AM",January 10K Challenge,true
"Dec 28, 2025, 8:43:19 AM",January Fresh Start Challenge,false
"Dec 28, 2025, 8:43:24 AM",Streak to the Finish Challenge,true
"Dec 28, 2025, 8:43:27 AM",January Run 100K Challenge,false
"Dec 28, 2025, 8:43:33 AM",January Walk 100K Steps Challenge,false
"Dec 28, 2025, 8:43:36 AM",January Ten Days Active Challenge,true
"Dec 28, 2025, 8:43:37 AM",January Half Marathon Challenge,false
"Dec 28, 2025, 8:43:42 AM",January 180 Minute Sweat Challenge,false
"Dec 28, 2025, 8:43:44 AM",January Flexibility Challenge,false
"Dec 28, 2025, 8:43:46 AM",January Elevation Challenge,false
"Jan 4, 2026, 8:34:48 AM",January 400-minute x Runna Challenge,true
