Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 9, 2024, 3:20:07 AM",Kudos,Activity,12610383211
"Oct 12, 2024, 3:01:16 AM",Kudos,Activity,12633438162
"Oct 13, 2024, 11:39:37 AM",Kudos,Activity,12642385464
"Oct 19, 2024, 5:10:23 AM",Kudos,Activity,12677039040
"Nov 1, 2024, 8:00:50 AM",Kudos,Activity,12794071338
"Nov 2, 2024, 7:28:57 AM",Kudos,Activity,12794735991
"Nov 16, 2024, 9:55:35 AM",Kudos,Activity,12910409439
"Dec 15, 2024, 4:42:17 AM",Kudos,Activity,13117940247
"Jan 25, 2025, 7:03:37 AM",Kudos,Activity,13444969769
"Feb 15, 2025, 5:01:22 AM",Kudos,Activity,13629881687
"Mar 3, 2025, 4:47:47 AM",Kudos,Activity,13774209163
"Mar 22, 2025, 5:28:59 AM",Kudos,Activity,13950492146
"Mar 26, 2025, 1:06:29 PM",Kudos,Activity,13991359333
"Mar 29, 2025, 8:01:12 AM",Kudos,Activity,14016823816
"Apr 2, 2025, 1:00:19 PM",Kudos,Activity,14054909831
"Jun 15, 2025, 10:06:28 AM",Kudos,Activity,14804041510
"Aug 22, 2025, 11:44:52 PM",Kudos,Activity,15551144295
"Sep 28, 2025, 8:58:04 AM",Kudos,Activity,15959890967
"Oct 8, 2025, 2:51:10 PM",Kudos,Activity,16074878068
"Oct 12, 2025, 6:05:11 AM",Kudos,Activity,16112565063
"Dec 27, 2025, 7:45:49 AM",Kudos,Activity,16850775900
"Jan 3, 2026, 5:46:11 AM",Kudos,Activity,16919489679
